PF21966	28.6
PF30437	27
PF10515	27
PF12924	26.4
PF12925	22.2
PF02177	21.6
PF12716	25
PF23526	27
PF27914	27
PF12139	25
PF01583	20.7
PF03440	25
PF06079	27
PF01261	31.1
PF16399	26.6
PF21143	21.5
PF21144	27.9
PF27085	27
PF27139	27
PF30232	27
PF29770	27
PF29619	27
PF22323	27
PF27093	27
PF27164	27
PF29728	27
PF27284	27
PF29758	27
PF29939	27
PF27142	27
PF27394	27.8
PF12489	23.6
PF24856	24
PF02610	24
PF09206	25
PF27998	36.5
PF12625	27.6
PF11762	25
PF04602	25
PF14896	25
PF17689	25
PF02311	21.1
PF14525	27
PF06719	24.2
PF06081	22
PF11728	22.4
PF10337	23.5
PF09692	25
PF22749	26.8
PF09757	26.6
PF30909	36.2
PF26335	27
PF28404	27
PF28392	27
PF28391	27
PF30933	27
PF30934	27
PF03869	20.4
PF21972	27
PF23468	24
PF13355	22.8
PF18653	25
PF29253	27
PF12942	25.6
PF29447	27
PF29449	27
PF01951	25
PF04659	21
PF23109	27
PF18162	31.9
PF27767	27
PF28760	27
PF19284	28.5
PF21395	27
PF06819	23.4
PF06847	29.9
PF08394	27
PF03079	27
PF07275	27
PF08401	22.6
PF28604	27
PF07573	21.5
PF25915	27
PF25916	27
PF17296	27
PF00798	25
PF17290	27
PF00843	27.2
PF06317	25
PF00025	22.3
PF14949	27
PF03889	25.5
PF06456	32
PF29743	28
PF27542	27
PF01412	28.7
PF06507	34.5
PF00491	22
PF00764	27
PF20979	27
PF01960	32
PF22864	28.2
PF15346	27
PF08699	22
PF16488	33.3
PF16487	27.5
PF16486	30.9
PF11581	25
PF28360	27
PF21571	27
PF21570	27
PF17944	23.3
PF17810	23.3
PF01316	27
PF02863	25
PF03485	21.5
PF15441	27
PF19422	23.5
PF18938	27
PF01388	24.1
PF06770	27
PF15840	27
PF11527	23
PF15062	27
PF18719	27
PF24151	28.7
PF00514	20.3
PF09003	22
PF12167	22
PF13356	27
PF14657	25
PF17293	22.6
PF30701	135.9
PF27652	27
PF21050	27.3
PF21051	27.3
PF10208	23.5
PF20145	26.9
PF17822	25
PF08427	27
PF15767	25
PF22915	27
PF30276	27
PF30818	27
PF01937	25
PF04826	20.4
PF16186	28.8
PF23295	27
PF23948	27
PF26522	27
PF26524	27
PF16629	25
PF24768	79.9
PF24477	27
PF25097	27
PF25505	26
PF24742	27
PF23702	27
PF23731	27
PF24467	27
PF30700	38.2
PF30699	31
PF24472	27
PF24520	27.3
PF24516	27.4
PF24515	26.4
PF23568	27
PF23654	27
PF23628	26.8
PF23744	26.2
PF25515	27
PF25598	35.3
PF24970	27
PF25326	24.8
